State,County,FIPS,Density,White,MHI,Bachelors,2012D,2012R,2012O,2016D,2016R,2016O
Alabama,Autauga,1001,92.9311621,0.75046161,58343,0.25,6363,17379,231,5936,18172,865
Alabama,Baldwin,1003,130.654556,0.83158893,56607,0.307,18424,66016,1051,18458,72883,3874
Alabama,Barbour,1005,29.1779676,0.4624114,32490,0.12,5912,5550,55,4871,5454,144
Alabama,Bibb,1007,36.2620065,0.74552622,45795,0.132,2202,6132,86,1874,6738,207
Alabama,Blount,1009,89.2040696,0.87499348,48253,0.131,2970,20757,333,2156,22859,573
Alabama,Bullock,1011,16.6682723,0.21693479,29113,0.134,4061,1251,10,3530,1140,40
Alabama,Butler,1013,25.7829898,0.51844825,36842,0.161,4374,5087,41,3726,4901,105
Alabama,Calhoun,1015,189.839405,0.72499087,45937,0.179,15511,30278,575,13242,32865,1757
Alabama,Chambers,1017,56.6124084,0.5578751,36883,0.133,6871,7626,132,5784,7843,273
Alabama,Cherokee,1019,46.5522846,0.91748138,44842,0.125,2132,7506,154,1547,8953,233
Alabama,Chilton,1021,63.3557047,0.80385457,46405,0.151,3397,13932,156,2911,15081,377
Alabama,Choctaw,1023,14.2846196,0.56556058,36711,0.116,3786,4152,38,3109,4106,77
Alabama,Clarke,1025,19.6607077,0.52860487,36719,0.13,6334,7470,56,5749,7140,142
Alabama,Clay,1027,22.1753096,0.8031061,39642,0.103,1777,4817,85,1237,5245,142
Alabama,Cleburne,1029,26.5184788,0.92681613,45480,0.124,971,5272,76,684,5764,145
Alabama,Coffee,1031,75.3273341,0.70689217,51998,0.227,4925,14666,230,4221,15875,671
Alabama,Colbert,1033,91.7400695,0.78812515,46100,0.188,9166,13936,342,7312,16746,857
Alabama,Conecuh,1035,14.704291,0.4962803,30796,0.088,3555,3439,31,3080,3420,85
Alabama,Coosa,1037,16.6315887,0.65388879,42442,0.11,2191,3049,42,1782,3381,89
Alabama,Covington,1039,36.2770025,0.83355626,39093,0.155,3158,12153,128,2387,13267,286
Alabama,Crenshaw,1041,22.8664345,0.71009912,38419,0.163,2050,4331,43,1664,4513,90
Alabama,Cullman,1043,112.209461,0.92138838,45925,0.149,5052,28999,504,3798,32989,1086
Alabama,Dale,1045,87.8570792,0.69473236,42572,0.168,5286,13108,207,4413,13808,528
Alabama,Dallas,1047,40.9649634,0.27382021,31329,0.142,14612,6288,64,12836,5789,167
Alabama,DeKalb,1049,91.4964805,0.80792113,39906,0.13,5239,18331,380,3622,21405,799
Alabama,Elmore,1051,131.391476,0.73463938,59652,0.228,8954,26253,339,8443,27634,1183
Alabama,Escambia,1053,39.6664833,0.60091229,37870,0.121,5489,9287,118,4605,9935,305
Alabama,Etowah,1055,192.244715,0.78101878,41791,0.169,12803,29130,691,10442,32353,1369
Alabama,Fayette,1057,26.3757448,0.84735729,39394,0.146,1817,6054,87,1362,6712,175
Alabama,Franklin,1059,49.9416238,0.77080306,41025,0.134,3171,7567,143,2197,9466,377
Alabama,Geneva,1061,46.1308125,0.8393841,38561,0.111,2039,9175,117,1525,9994,239
Alabama,Greene,1063,13.1090541,0.1702228,28108,0.114,4521,804,18,4013,838,29
Alabama,Hale,1065,23.0378607,0.39642737,34905,0.144,5411,3210,26,4775,3173,92
Alabama,Henry,1067,30.4103249,0.6887549,48094,0.171,3083,5628,55,2292,5632,148
Alabama,Houston,1069,179.778207,0.67018103,44753,0.209,12367,29270,347,10664,30728,1247
Alabama,Jackson,1071,48.2878269,0.89525054,42658,0.134,5822,14439,371,3673,16672,639
Alabama,Jefferson,1073,594.203081,0.50211562,50731,0.319,159876,141683,2964,156873,134768,12550
Alabama,Lamar,1075,23.0255435,0.86213829,39796,0.133,1646,5457,73,1036,5823,107
Alabama,Lauderdale,1077,138.47087,0.84865397,46646,0.225,12511,23911,610,9952,27899,1674
Alabama,Lawrence,1079,48.1163491,0.7673096,42912,0.102,5069,8874,205,3627,10833,369
Alabama,Lee,1081,262.20002,0.67554317,51372,0.349,21381,32194,921,21230,34617,3344
Alabama,Limestone,1083,165.805265,0.76985384,57342,0.246,9829,25295,416,9468,29067,1759
Alabama,Lowndes,1085,14.3216326,0.24207549,33130,0.137,5747,1756,20,4883,1751,50
Alabama,Macon,1087,31.3094319,0.15516156,30849,0.201,9045,1331,20,7566,1431,143
Alabama,Madison,1089,445.141531,0.65085575,62750,0.406,62015,90884,2529,62822,89520,11047
Alabama,Marengo,1091,19.9778888,0.44768395,37469,0.154,6167,5336,40,5615,5233,146
Alabama,Marion,1093,40.3669725,0.91926979,38049,0.134,2249,9697,183,1432,11274,278
Alabama,Marshall,1095,168.10936,0.81297899,42751,0.177,6299,25867,478,4917,29233,1166
Alabama,Mobile,1097,337.957932,0.5724394,45615,0.23,78760,94893,1487,72186,95116,5435
Alabama,Monroe,1099,21.0057816,0.54504525,36432,0.125,4914,5741,62,4332,5795,144
Alabama,Montgomery,1101,289.540325,0.34610168,45833,0.323,63085,38332,650,58916,34003,2959
Alabama,Morgan,1103,205.354369,0.75977978,49274,0.209,13439,35391,629,11254,37486,1904
Alabama,Perry,1105,13.2395854,0.29324097,26703,0.169,4568,1506,27,3824,1407,47
Alabama,Pickens,1107,23.0414903,0.53749569,38379,0.118,4455,5124,42,3972,5456,114
Alabama,Pike,1109,49.8757607,0.56200591,40680,0.247,6035,7963,125,5056,7693,419
Alabama,Randolph,1111,38.7701318,0.75364315,41112,0.146,3078,7224,119,2291,7705,191
Alabama,Russell,1113,90.7882834,0.47132697,36186,0.169,10500,8278,132,9579,9210,467
Alabama,Saint Clair,1115,138.19117,0.86153705,52755,0.16,5801,29031,1255,5589,31651,1160
Alabama,Shelby,1117,269.361599,0.78381025,74098,0.422,20051,71436,403,22977,73020,5257
Alabama,Sumter,1119,14.3535165,0.24834284,26495,0.182,5421,1586,23,4746,1581,84
Alabama,Talladega,1121,109.215777,0.63072277,41733,0.136,13905,19246,265,12121,20614,672
Alabama,Tallapoosa,1123,56.6208899,0.69073207,44469,0.182,6319,12396,136,5519,13594,373
Alabama,Tuscaloosa,1125,156.318517,0.61913036,51644,0.302,32048,45748,976,31762,47723,3215
Alabama,Walker,1127,81.5834376,0.89146062,41925,0.111,6557,21651,377,4497,24266,709
Alabama,Washington,1129,15.3766397,0.65027092,44249,0.107,2976,5761,50,2374,6042,117
Alabama,Wilcox,1131,12.2127181,0.26827021,25700,0.12,4868,1679,8,4339,1742,42
Alabama,Winston,1133,38.9996411,0.93934577,38562,0.129,1286,8312,130,872,9228,213
Arizona,Apache,4001,6.37667984,0.18396986,33053,0.115,17147,8250,520,17083,8240,2338
Arizona,Cochise,4003,20.4003121,0.55424465,48966,0.236,18546,29497,1158,17450,28092,4473
Arizona,Coconino,4005,7.54690532,0.54424795,54399,0.354,29257,21220,1485,32404,21108,6272
Arizona,Gila,4007,11.2242089,0.62557112,38897,0.19,7697,13455,443,7003,14182,1330
Arizona,Graham,4009,8.18219184,0.50680803,46378,0.141,3609,8076,220,3301,8025,955
Arizona,Greenlee,4011,5.23620146,0.47456222,63557,0.121,1310,1592,84,1092,1892,316
Arizona,La Paz,4012,4.59171087,0.5782392,36389,0.112,1880,3714,141,1575,4003,373
Arizona,Maricopa,4013,462.884587,0.55803676,62221,0.314,602288,749885,28786,702907,747361,117566
Arizona,Mohave,4015,15.4398441,0.77693277,42210,0.123,19533,49168,1627,17455,58282,4206
Arizona,Navajo,4017,10.9063738,0.41329488,40883,0.155,16945,19884,636,16459,20577,3258
Arizona,Pima,4019,110.767342,0.52130355,51392,0.316,201251,174779,7143,224661,167428,29551
Arizona,Pinal,4021,77.7848185,0.57344087,53114,0.186,44306,62079,2297,47892,72819,8835
Arizona,Santa Cruz,4023,37.5675064,0.14853232,39265,0.221,9486,4235,190,11690,3897,846
Arizona,Yavapai,4025,27.6470733,0.80679992,49860,0.25,33918,64468,2281,35590,71330,7530
Arizona,Yuma,4027,37.6351789,0.31389264,46013,0.143,18059,23352,662,24605,25165,3240
Arkansas,Arkansas,5001,18.3510827,0.70151557,43752,0.141,2455,3897,142,1939,3826,447
Arkansas,Ashley,5003,22.1807965,0.68063337,40495,0.134,2859,4867,195,2408,5338,337
Arkansas,Baxter,5005,74.2206105,0.94863755,43011,0.184,5172,13688,479,4169,14682,915
Arkansas,Benton,5007,305.931363,0.73753829,64728,0.317,22636,54646,1975,28005,60871,7948
Arkansas,Boone,5009,63.1279332,0.94060655,41770,0.162,3772,11159,460,2926,12235,950
Arkansas,Bradley,5011,16.8923186,0.55603173,35950,0.144,1449,2134,69,1317,2164,172
Arkansas,Calhoun,5013,8.180343,0.72578763,42484,0.123,660,1458,56,639,1556,74
Arkansas,Carroll,5015,44.0460887,0.80124671,38297,0.193,3696,6125,362,3342,6786,630
Arkansas,Chicot,5017,16.9051684,0.38854205,31810,0.132,2649,1670,42,2350,1716,110
Arkansas,Clark,5019,26.0948884,0.68615044,40536,0.264,3811,4343,255,3620,4404,502
Arkansas,Clay,5021,23.5370469,0.95581689,35164,0.107,1738,3225,147,1199,3781,220
Arkansas,Cleburne,5023,45.4658744,0.9483197,43170,0.159,2620,8693,334,2101,9458,526
Arkansas,Cleveland,5025,13.7993911,0.84749667,47812,0.17,845,2313,108,723,2462,169
Arkansas,Columbia,5027,31.3935122,0.59320554,38488,0.215,3557,5790,108,3140,5456,291
Arkansas,Conway,5029,37.7926664,0.8179771,43519,0.158,3005,4514,211,2656,4849,422
Arkansas,Craighead,5031,149.644377,0.76884626,49355,0.265,10527,20350,823,10538,22892,2143
Arkansas,Crawford,5033,105.058254,0.84605755,44850,0.145,4881,15145,565,4488,16686,1276
Arkansas,Crittenden,5035,80.9252821,0.42600061,39272,0.169,9487,6998,231,8410,6964,578
Arkansas,Cross,5037,27.6193257,0.72738487,41661,0.138,2279,4269,133,1999,4584,291
Arkansas,Dallas,5039,11.0909663,0.52823561,33739,0.141,1337,1665,82,1165,1509,97
Arkansas,Desha,5041,15.4904641,0.45760148,33228,0.126,2443,1896,81,2228,1919,110
Arkansas,Drew,5043,22.3960597,0.66785252,41339,0.185,2630,3887,116,2365,3968,262
Arkansas,Faulkner,5045,188.460826,0.80728092,51535,0.297,13621,26722,1117,14629,29346,3552
Arkansas,Franklin,5047,29.0198075,0.92308563,41140,0.113,1726,4631,183,1376,5039,355
Arkansas,Fulton,5049,19.5667999,0.95163691,35723,0.121,1452,2949,121,1067,3471,234
Arkansas,Garland,5051,145.048541,0.82285807,44662,0.201,13804,26014,910,12311,26087,2407
Arkansas,Grant,5053,28.5829601,0.92762611,54819,0.19,1468,4829,182,1373,5725,347
Arkansas,Greene,5055,77.4277307,0.93306506,46029,0.161,4000,9071,690,3071,10720,809
Arkansas,Hempstead,5057,30.2892017,0.54991832,39505,0.131,2468,4284,169,2377,4401,271
Arkansas,Hot Spring,5059,54.3221717,0.82866034,42329,0.138,3830,7097,333,3149,8172,623
Arkansas,Howard,5061,22.7100501,0.64611701,36744,0.153,1471,2892,99,1351,3157,166
Arkansas,Independence,5063,48.5869494,0.89099628,42332,0.18,3281,8728,388,2881,9936,797
Arkansas,Izard,5065,23.2284956,0.9314845,37958,0.129,1524,3575,179,1113,4042,293
Arkansas,Jackson,5067,27.2738745,0.76986698,36235,0.092,2095,3072,180,1583,3267,306
Arkansas,Jefferson,5069,80.8498421,0.39144886,38677,0.168,17470,9520,393,15772,9250,872
Arkansas,Johnson,5071,39.6332222,0.80061186,39798,0.157,2799,5064,235,2427,6091,594
Arkansas,Lafayette,5073,13.0482518,0.58929349,33378,0.15,1173,1713,43,1032,1758,70
Arkansas,Lawrence,5075,28.3334184,0.95423149,40777,0.155,1788,3536,216,1263,4064,358
Arkansas,Lee,5077,15.4989878,0.40899358,28875,0.084,2107,1280,37,1735,1229,62
Arkansas,Lincoln,5079,24.4408035,0.64201399,43821,0.079,1425,2199,102,1252,2455,119
Arkansas,Little River,5081,23.3367778,0.72957089,42063,0.103,1552,3385,114,1397,3605,225
Arkansas,Logan,5083,30.6798283,0.90697353,37676,0.12,2009,5079,243,1715,5746,460
Arkansas,Lonoke,5085,93.1830862,0.86193069,54378,0.201,5625,17880,609,5664,19958,1478
