1974,California's 1st BoE District - DEM Hold,George R. Reilly (D-inc),"852,929",60.03%
1974,California's 1st BoE District,Henry 'Hank' Arkin (R),"494,444",34.80%
1974,California's 1st BoE District,Pat Propst (PF),"73,476",5.17%
1974,California's 1st BoE District,Total Votes,"1,420,849",100.00%
1974,California's 2nd BoE District - DEM Hold,John W. Lynch (D-inc),"814,176",55.16%
1974,California's 2nd BoE District,S. Jack Templeton (R),"661,789",44.84%
1974,California's 2nd BoE District,Total Votes,"1,475,965",100.00%
1974,California's 3rd BoE District - DEM Hold,Bill Bennett (D-inc),"934,141",61.89%
1974,California's 3rd BoE District,Tally P. Mastrangelo (R),"468,159",31.01%
1974,California's 3rd BoE District,Joyce W. Stanclift (AI),"107,161",7.10%
1974,California's 3rd BoE District,Total Votes,"1,509,461",100.00%
1974,California's 4th BoE District - DEM Hold,Richard Nevins (D-inc),"817,056",66.16%
1974,California's 4th BoE District,William D. Getty,"365,570",29.60%
1974,California's 4th BoE District,Mike Timko (PF),"52,342",4.24%
1974,California's 4th BoE District,Total Votes,"1,234,968",100.00%
1974,California's 2nd Senate District - GOP Hold,Peter H. Behr (R-inc),"97,704",52.56%
1974,California's 2nd Senate District,Ernest F. Banker (D),"80,163",43.13%
1974,California's 2nd Senate District,Toni Novak-Sutley (PF),"8,007",4.31%
1974,California's 2nd Senate District,Total Votes,"185,874",100.00%
1974,California's 4th Senate District - DEM Hold,John F. Dunlap (D-inc),"103,969",61.16%
1974,California's 4th Senate District,William H. McPherson (R),"60,413",35.54%
1974,California's 4th Senate District,Sharon Thomas Marlow (PF),"5,601",3.30%
1974,California's 4th Senate District,Total Votes,"169,983",100.00%
1974,California's 6th Senate District - DEM Hold,George R. Moscone (D-inc),"112,791",75.93%
1974,California's 6th Senate District,Max Woods (R),"30,727",20.68%
1974,California's 6th Senate District,"Raymond O. ""Ray"" Heaps (AI)","5,036",3.39%
1974,California's 6th Senate District,Total Votes,"148,554",100.00%
1974,California's 8th Senate District - DEM Hold,John W. Holmdahl (D-inc),"103,002",78.04%
1974,California's 8th Senate District,"Patrick V. ""Pat"" Colglazier (R)","28,989",21.96%
1974,California's 8th Senate District,Total Votes,"131,991",100.00%
1974,California's 10th Senate District - DEM Hold,Arlen F. Gregorio (D-inc),"106,410",65.72%
1974,California's 10th Senate District,James R. Tormey Jr. (R),"50,284",31.05%
1974,California's 10th Senate District,"Joseph David ""Joss"" Cooney (AI)","5,226",3.23%
1974,California's 10th Senate District,Total Votes,"161,920",100.00%
1974,California's 12th Senate District - DEM Gain,Jerry Smith (D),"85,600",55.14%
1974,California's 12th Senate District,Clark L. Bradley (R-inc),"66,142",42.60%
1974,California's 12th Senate District,William Pollock Herrell (AI),"3,503",2.26%
1974,California's 12th Senate District,Total Votes,"155,245",100.00%
1974,California's 14th Senate District - DEM Hold,George N. Zenovich (D-inc),"93,270",100.00%
1974,California's 16th Senate District - DEM Hold,Walter W. Stiern (D-inc),"90,434",64.99%
1974,California's 16th Senate District,LeRoy M. Jackson (R),"48,718",35.01%
1974,California's 16th Senate District,Total Votes,"139,152",100.00%
1974,California's 18th Senate District - DEM Hold,Omer L. Rains (D-inc),"96,807",61.30%
1974,California's 18th Senate District,W. Don MacGillivray (R),"57,910",36.67%
1974,California's 18th Senate District,Gregory W. Mohr (PF),"3,196",2.02%
1974,California's 18th Senate District,Total Votes,"157,913",100.00%
1974,California's 20th Senate District - DEM Hold,Alan Robbins (D-inc),"94,837",68.71%
1974,California's 20th Senate District,Jack W. Ellis (R),"39,281",28.46%
1974,California's 20th Senate District,Jan B. Tucker (PF),"3,905",2.83%
1974,California's 20th Senate District,Total Votes,"138,023",100.00%
1974,California's 22nd Senate District - DEM Hold,Anthony C. Beilenson (D-inc),"129,056",68.04%
1974,California's 22nd Senate District,Dennis J. Bauer (R),"56,315",29.69%
1974,California's 22nd Senate District,Eric A. Garris (PF),"4,316",2.28%
1974,California's 22nd Senate District,Total Votes,"189,687",100.00%
1974,California's 24th Senate District - DEM Hold,Alex P. Garcia (D),"47,378",66.16%
1974,California's 24th Senate District,Catalina Katie Martinez (R),"20,066",28.02%
1974,California's 24th Senate District,Julia Luna Mount (PF),"4,170",5.82%
1974,California's 24th Senate District,Total Votes,"71,614",100.00%
1974,California's 26th Senate District - DEM Hold,Alfred H. Song (D-inc),"83,998",73.72%
1974,California's 26th Senate District,Walter A. Schreotter (R),"29,949",26.28%
1974,California's 26th Senate District,Total Votes,"113,947",100.00%
1974,California's 28th Senate District - DEM Hold,Ralph C. Dills (D-inc),"73,959",77.17%
1974,California's 28th Senate District,Dennis L. Brown (R),"21,876",22.83%
1974,California's 28th Senate District,Total Votes,"95,835",100.00%
1974,California's 30th Senate District - DEM Hold,Nate Holden (D),"90,246",71.32%
1974,California's 30th Senate District,Hans Mechtold (R),"36,288",28.68%
1974,California's 30th Senate District,Total Votes,"126,534",100.00%
1974,California's 32nd Senate District - DEM Hold,Ruben S. Ayala (D-inc),"77,438",68.78%
1974,California's 32nd Senate District,John Richard Marcus (R),"30,060",26.70%
1974,California's 32nd Senate District,Ray Clark (AI),"5,086",4.52%
1974,California's 32nd Senate District,Total Votes,"112,584",100.00%
1974,California's 34th Senate District - DEM Gain,Robert B. Presley (D),"70,849",47.96%
1974,California's 34th Senate District,W. Craig Biddle (R-inc),"70,597",47.78%
1974,California's 34th Senate District,Nial D. Meadows (AI),"6,294",4.26%
1974,California's 34th Senate District,Total Votes,"147,740",100.00%
1974,California's 36th Senate District - GOP Hold,Dennis E. Carpenter (R-inc),"124,692",60.54%
1974,California's 36th Senate District,Frank P. Barbaro (D),"72,001",34.96%
1974,California's 36th Senate District,Gerald N. Bogart (AI),"9,257",4.49%
1974,California's 36th Senate District,Total Votes,"205,950",100.00%
1974,California's 38th Senate District - GOP Hold,John Stull (R-inc),"119,402",58.65%
1974,California's 38th Senate District,Jonnie Stahl (D),"84,191",41.35%
1974,California's 38th Senate District,Total Votes,"203,593",100.00%
1974,California's 40th Senate District - DEM Hold,James R. Mills (D-inc),"76,255",66.88%
1974,California's 40th Senate District,James G. McKinney (R),"37,757",33.12%
1974,California's 40th Senate District,Total Votes,"114,012",100.00%
1974,California's 1st Assembly District - DEM Hold/GOP Loss,Pauline L. Davis (D-inc),"49,497",52.61%
1974,California's 1st Assembly District,Ray E. Johnson (R-inc),"44,583",47.39%
1974,California's 1st Assembly District,Total Votes,"94,080",100.00%
1974,California's 2nd Assembly District - DEM Hold,Barry Keene (D-inc),"62,208",67.18%
1974,California's 2nd Assembly District,Don Peterson (R),"30,392",32.82%
1974,California's 2nd Assembly District,Total Votes,"92,600",100.00%
1974,California's 3rd Assembly District - GOP Hold,Eugene A. Chappie (R-inc),"42,721",48.25%
1974,California's 3rd Assembly District,Baron Reed (D),"41,972",47.40%
1974,California's 3rd Assembly District,Alton R. Moss (AI),"3,857",4.36%
1974,California's 3rd Assembly District,Total Votes,"88,550",100.00%
1974,California's 4th Assembly District - DEM Hold,Edwin L. Z'berg (D-inc),"41,064",50.52%
1974,California's 4th Assembly District,Mike Abernathy (R),"36,820",45.30%
1974,California's 4th Assembly District,Jeannette H. Reese (AI),"3,402",4.19%
1974,California's 4th Assembly District,Total Votes,"81,286",100.00%
1974,California's 5th Assembly District - DEM Hold,Eugene T. Gualco (D),"45,873",56.95%
1974,California's 5th Assembly District,Todd Sloan (R),"27,446",34.07%
1974,California's 5th Assembly District,Joy Hutchins (AI),"7,227",8.97%
1974,California's 5th Assembly District,Total Votes,"80,546",100.00%
1974,California's 6th Assembly District - DEM Hold,Leroy F. Greene (D-inc),"64,472",69.97%
1974,California's 6th Assembly District,Frank B. Cockrell (R),"27,665",30.03%
1974,California's 6th Assembly District,Total Votes,"92,137",100.00%
1974,California's 7th Assembly District - DEM Gain,John Garamendi (D),"60,380",64.08%
1974,California's 7th Assembly District,Douglas F. Carter (R),"33,842",35.92%
1974,California's 7th Assembly District,Total Votes,"94,222",100.00%
1974,California's 8th Assembly District - DEM Hold,Alfred C. Siegler (D),"44,805",50.15%
1974,California's 8th Assembly District,"Edward G. ""Ed"" Maybrun (R)","41,353",46.28%
1974,California's 8th Assembly District,John Ryan Marlow (PF),"3,189",3.57%
1974,California's 8th Assembly District,Total Votes,"89,347",100.00%
1974,California's 9th Assembly District - DEM Hold,Michael Wornum (D),"47,758",50.54%
1974,California's 9th Assembly District,A. Alan Hill (R),"41,290",43.69%
